,Country,date,confirmed,tests,cases/100 tests,media2days,media3days,cumulative
34,Italy,2020-02-27,78,2427,3.21384425216316,6.43057357836374,NA,186
35,Italy,2020-02-28,250,3681,6.79163270850312,5.00273848033314,6.55092662174354,264
36,Italy,2020-02-29,238,2966,8.02427511800405,7.40795391325358,6.00991735955678,514
37,Italy,2020-03-01,240,2466,9.7323600973236,8.87831760766382,8.18275597461026,752
38,Italy,2020-03-02,561,2218,25.2930568079351,17.5127084526293,14.3498973410876,992
39,Italy,2020-03-03,146,2511,5.81441656710474,15.5537366875199,13.6132778241211,1553
40,Italy,2020-03-04,667,3981,16.7545842753077,11.2845004212062,15.9540192167825,1699
41,Italy,2020-03-05,587,2525,23.2475247524752,20.0010545138915,15.2721751982959,2366
42,Italy,2020-03-06,769,3997,19.2394295721791,21.2434771623272,19.7471795333207,2953
43,Italy,2020-03-07,778,5703,13.6419428371033,16.4406862046412,18.7096323872526,3722
44,Italy,2020-03-08,1247,7875,15.8349206349206,14.738431736012,16.2387643480677,4500
45,Italy,2020-03-09,1492,3889,38.364618153767,27.0997693943438,22.613827208597,5747
46,Italy,2020-03-10,1797,6935,25.9120403749099,32.1383292643385,26.7038597211992,7239
47,Italy,2020-03-11,977,12393,7.88348261115146,16.8977614930307,24.0533803799428,9036
48,Italy,2020-03-12,2313,12857,17.9901998911099,12.9368412511307,17.2619076257237,10013
49,Italy,2020-03-13,2651,11477,23.0983706543522,20.544285272731,16.3240177188712,12326
50,Italy,2020-03-14,2547,11682,21.8027734976888,22.4505720760205,20.9637813477169,14977
51,Italy,2020-03-15,90,15729,0.572191493419798,11.1874824955543,15.1577785484869,17524
52,Italy,2020-03-16,6230,13063,47.6919543749522,24.132072934186,23.3556397886869,17614
53,Italy,2020-03-17,4000,10695,37.400654511454,42.5463044432031,28.554933459942,23844
54,Italy,2020-03-18,3526,16884,20.8836768538261,29.14216568264,35.3254285800774,27844
55,Italy,2020-03-19,4207,17236,24.4082153631933,22.6459461085097,27.5641822428245,31370
56,Italy,2020-03-20,5322,24109,22.0747438715832,23.2414796173883,22.4555453628676,35577
57,Italy,2020-03-21,5986,26336,22.7293438639125,22.4020438677479,23.070767699563,40899
58,Italy,2020-03-22,6557,25180,26.0405083399523,24.3849261019324,23.6148653584827,46885
59,Italy,2020-03-23,5560,17066,32.57939763272,29.3099529863362,27.116416612195,53442
60,Italy,2020-03-24,4789,21496,22.2785634536658,27.4289805431929,26.9661564754461,59002
61,Italy,2020-03-25,5249,27481,19.1004694152323,20.6895164344491,24.6528101672061,63791
62,Italy,2020-03-26,5210,36615,14.2291410624061,16.6648052388192,18.5360579771014,69040
63,Italy,2020-03-27,6153,33019,18.6347254610982,16.4319332617521,17.3214453129122,74250
64,Italy,2020-03-28,5959,35447,16.8110136259768,17.7228695435375,16.5582933831604,80403
65,Italy,2020-03-29,5974,24504,24.3796931113288,20.5953533686528,19.9418107328012,86362
66,Italy,2020-03-30,5217,23329,22.3627245059797,23.3712088086542,21.1844770810951,92336
67,Italy,2020-03-31,4050,29609,13.6782734979229,18.0204990019513,20.1402303717438,97553
68,Italy,2020-04-01,4053,34455,11.7631693513278,12.7207214246254,15.9347224517435,101603
69,Italy,2020-04-02,4782,39809,12.0123590142933,11.8877641828105,12.4846006211813,105656
70,Italy,2020-04-03,4668,38617,12.0879405443199,12.0501497793066,11.954489636647,110438
71,Italy,2020-04-04,4585,NA,NA,NA,NA,115106
72,South Korea,2020-02-26,254,9411,2.69896929125491,NA,NA,254
73,South Korea,2020-02-27,449,11863,3.7848773497429,3.24192332049891,NA,703
74,South Korea,2020-02-28,427,12950,3.2972972972973,3.5410873235201,3.26038131276504,1130
75,South Korea,2020-02-29,909,14753,6.16145868636887,4.72937799183309,4.41454444446969,2039
76,South Korea,2020-03-01,595,11292,5.26921714488133,5.7153379156251,4.9093243761825,2634
77,South Korea,2020-03-02,686,12606,5.44185308583214,5.35553511535674,5.62417630569412,3320
78,South Korea,2020-03-03,600,16260,3.690036900369,4.56594499310057,4.80036904369416,3920
79,South Korea,2020-03-04,516,10856,4.75313190862196,4.22158440449548,4.6283406316077,4436
80,South Korea,2020-03-05,438,9834,4.45393532641855,4.60353361752025,4.29903471180317,4874
81,South Korea,2020-03-06,518,18199,2.8463102368262,3.65012278162237,4.01779249062224,5392
82,South Korea,2020-03-07,483,13449,3.59134508141869,3.21882765912245,3.63053021488781,5875
83,South Korea,2020-03-08,367,10329,3.55310291412528,3.57222399777199,3.33025274412339,6242
84,South Korea,2020-03-09,248,8100,3.06172839506173,3.3074156545935,3.40205879686857,6490
85,South Korea,2020-03-10,131,13526,0.968505101286411,2.01511674817407,2.52777880349114,6621
86,South Korea,2020-03-11,242,12251,1.97534895110603,1.47192702619622,2.00186081581806,6863
87,South Korea,2020-03-12,114,12603,0.904546536538919,1.43994774382248,1.28280019631045,6977
88,South Korea,2020-03-13,110,13649,0.805919847607883,0.855233192073401,1.22860511175095,7087
89,South Korea,2020-03-14,107,12688,0.843316519546028,0.824618183576955,0.85126096789761,7194
90,South Korea,2020-03-15,76,6877,1.105133052203,0.974224785874512,0.918123139785636,7270
91,South Korea,2020-03-16,74,6292,1.17609663064209,1.14061484142254,1.04151540079704,7344
92,South Korea,2020-03-17,84,12212,0.687848018342614,0.931972324492349,0.989692567062565,7428
93,South Korea,2020-03-18,93,8931,1.04131676184078,0.864582390091696,0.968420470275159,7521
94,South Korea,2020-03-19,152,11377,1.33602883009581,1.18867279596829,1.0217312034264,7673
95,South Korea,2020-03-20,87,9640,0.902489626556017,1.11925922832591,1.0932784061642,7760
96,South Korea,2020-03-21,147,10845,1.35546334716459,1.1289764868603,1.19799393460547,7907
97,South Korea,2020-03-22,98,4271,2.29454460313744,1.82500397515102,1.51749919228602,8005
98,South Korea,2020-03-23,64,6256,1.0230179028133,1.65878125297537,1.55767528437178,8069
99,South Korea,2020-03-24,76,10546,0.720652380049308,0.871835141431303,1.34607162866668,8145
100,South Korea,2020-03-25,100,9314,1.07365256602963,0.89715247303947,0.939107616297413,8245
101,South Korea,2020-03-26,104,7046,1.4760147601476,1.27483366308862,1.09010656874218,8349
102,South Korea,2020-03-27,91,12019,0.75713453698311,1.11657464856536,1.10226728772011,8440
103,South Korea,2020-03-28,146,10964,1.33163079168187,1.04438266433249,1.18826002960419,8586
