"","Country","Code","Date","DeathsTotal","NewDeaths"
"6083","Nepal","NPL",2020-03-28,0,NA
"6084","Nepal","NPL",2020-03-29,0,NA
"6085","Nepal","NPL",2020-03-30,0,NA
"6086","Nepal","NPL",2020-03-31,0,NA
"6087","Nepal","NPL",2020-04-01,0,NA
"6088","Nepal","NPL",2020-04-02,0,NA
"6089","Nepal","NPL",2020-04-03,0,NA
"6090","Nepal","NPL",2020-04-04,0,NA
"6091","Nepal","NPL",2020-04-05,0,NA
"6092","Netherlands","NLD",2019-12-31,0,0
"6093","Netherlands","NLD",2020-01-01,0,0
"6094","Netherlands","NLD",2020-01-02,0,0
"6095","Netherlands","NLD",2020-01-03,0,0
"6096","Netherlands","NLD",2020-01-04,0,0
"6097","Netherlands","NLD",2020-01-05,0,0
"6098","Netherlands","NLD",2020-01-06,0,0
"6099","Netherlands","NLD",2020-01-07,0,0
"6100","Netherlands","NLD",2020-01-08,0,0
"6101","Netherlands","NLD",2020-01-09,0,0
"6102","Netherlands","NLD",2020-01-10,0,0
"6103","Netherlands","NLD",2020-01-11,0,0
"6104","Netherlands","NLD",2020-01-12,0,0
"6105","Netherlands","NLD",2020-01-13,0,0
"6106","Netherlands","NLD",2020-01-14,0,0
"6107","Netherlands","NLD",2020-01-15,0,0
"6108","Netherlands","NLD",2020-01-16,0,0
"6109","Netherlands","NLD",2020-01-17,0,0
"6110","Netherlands","NLD",2020-01-18,0,0
"6111","Netherlands","NLD",2020-01-19,0,0
"6112","Netherlands","NLD",2020-01-20,0,0
"6113","Netherlands","NLD",2020-01-21,0,0
"6114","Netherlands","NLD",2020-01-22,0,0
"6115","Netherlands","NLD",2020-01-23,0,0
"6116","Netherlands","NLD",2020-01-24,0,0
"6117","Netherlands","NLD",2020-01-25,0,0
"6118","Netherlands","NLD",2020-01-26,0,0
"6119","Netherlands","NLD",2020-01-27,0,0
"6120","Netherlands","NLD",2020-01-28,0,0
"6121","Netherlands","NLD",2020-01-29,0,0
"6122","Netherlands","NLD",2020-01-30,0,0
"6123","Netherlands","NLD",2020-01-31,0,0
"6124","Netherlands","NLD",2020-02-01,0,0
"6125","Netherlands","NLD",2020-02-02,0,0
"6126","Netherlands","NLD",2020-02-03,0,0
"6127","Netherlands","NLD",2020-02-04,0,0
"6128","Netherlands","NLD",2020-02-05,0,0
"6129","Netherlands","NLD",2020-02-06,0,0
"6130","Netherlands","NLD",2020-02-07,0,0
"6131","Netherlands","NLD",2020-02-08,0,0
"6132","Netherlands","NLD",2020-02-09,0,0
"6133","Netherlands","NLD",2020-02-10,0,0
"6134","Netherlands","NLD",2020-02-11,0,0
"6135","Netherlands","NLD",2020-02-12,0,0
"6136","Netherlands","NLD",2020-02-13,0,0
"6137","Netherlands","NLD",2020-02-14,0,0
"6138","Netherlands","NLD",2020-02-15,0,0
"6139","Netherlands","NLD",2020-02-16,0,0
"6140","Netherlands","NLD",2020-02-17,0,0
"6141","Netherlands","NLD",2020-02-18,0,0
"6142","Netherlands","NLD",2020-02-19,0,0
"6143","Netherlands","NLD",2020-02-20,0,0
"6144","Netherlands","NLD",2020-02-21,0,0
"6145","Netherlands","NLD",2020-02-22,0,0
"6146","Netherlands","NLD",2020-02-23,0,0
"6147","Netherlands","NLD",2020-02-24,0,0
"6148","Netherlands","NLD",2020-02-25,0,0
"6149","Netherlands","NLD",2020-02-26,0,0
"6150","Netherlands","NLD",2020-02-27,0,0
"6151","Netherlands","NLD",2020-02-28,0,0
"6152","Netherlands","NLD",2020-02-29,0,0
"6153","Netherlands","NLD",2020-03-01,0,0
"6154","Netherlands","NLD",2020-03-02,0,0
"6155","Netherlands","NLD",2020-03-03,0,0
"6156","Netherlands","NLD",2020-03-04,0,0
"6157","Netherlands","NLD",2020-03-05,0,0
"6158","Netherlands","NLD",2020-03-06,0,0
"6159","Netherlands","NLD",2020-03-07,1,1
"6160","Netherlands","NLD",2020-03-08,1,0
"6161","Netherlands","NLD",2020-03-09,3,2
"6162","Netherlands","NLD",2020-03-10,3,0
"6163","Netherlands","NLD",2020-03-11,4,1
"6164","Netherlands","NLD",2020-03-12,5,1
"6165","Netherlands","NLD",2020-03-13,5,0
"6166","Netherlands","NLD",2020-03-14,5,0
"6167","Netherlands","NLD",2020-03-15,12,7
"6168","Netherlands","NLD",2020-03-16,20,8
"6169","Netherlands","NLD",2020-03-17,24,4
"6170","Netherlands","NLD",2020-03-18,43,19
"6171","Netherlands","NLD",2020-03-19,58,15
"6172","Netherlands","NLD",2020-03-20,76,18
"6173","Netherlands","NLD",2020-03-21,106,30
"6174","Netherlands","NLD",2020-03-22,136,30
"6175","Netherlands","NLD",2020-03-23,179,43
"6176","Netherlands","NLD",2020-03-24,213,34
"6177","Netherlands","NLD",2020-03-25,276,63
"6178","Netherlands","NLD",2020-03-26,356,80
"6179","Netherlands","NLD",2020-03-27,434,78
"6180","Netherlands","NLD",2020-03-28,546,112
"6181","Netherlands","NLD",2020-03-29,639,93
"6182","Netherlands","NLD",2020-03-30,771,132
"6183","Netherlands","NLD",2020-03-31,864,93
"6184","Netherlands","NLD",2020-04-01,1039,175
"6185","Netherlands","NLD",2020-04-02,1173,134
"6186","Netherlands","NLD",2020-04-03,1339,166
"6187","Netherlands","NLD",2020-04-04,1487,148
"6188","Netherlands","NLD",2020-04-05,1651,164
"6189","New Caledonia","NCL",2020-03-21,0,NA
"6190","New Caledonia","NCL",2020-03-22,0,NA
"6191","New Caledonia","NCL",2020-03-23,0,NA
"6192","New Caledonia","NCL",2020-03-24,0,NA
"6193","New Caledonia","NCL",2020-03-25,0,NA
"6194","New Caledonia","NCL",2020-03-26,0,NA
"6195","New Caledonia","NCL",2020-03-27,0,NA
"6196","New Caledonia","NCL",2020-03-28,0,NA
"6197","New Caledonia","NCL",2020-03-29,0,NA
"6198","New Caledonia","NCL",2020-03-30,0,NA
"6199","New Caledonia","NCL",2020-03-31,0,NA
"6200","New Caledonia","NCL",2020-04-01,0,NA
"6201","New Caledonia","NCL",2020-04-02,0,NA
"6202","New Caledonia","NCL",2020-04-03,0,NA
"6203","New Caledonia","NCL",2020-04-04,0,NA
"6204","New Caledonia","NCL",2020-04-05,0,NA
"6205","New Zealand","NZL",2019-12-31,0,NA
"6206","New Zealand","NZL",2020-01-01,0,NA
"6207","New Zealand","NZL",2020-01-02,0,NA
"6208","New Zealand","NZL",2020-01-03,0,NA
"6209","New Zealand","NZL",2020-01-04,0,NA
"6210","New Zealand","NZL",2020-01-05,0,NA
"6211","New Zealand","NZL",2020-01-06,0,NA
"6212","New Zealand","NZL",2020-01-07,0,NA
"6213","New Zealand","NZL",2020-01-08,0,NA
"6214","New Zealand","NZL",2020-01-09,0,NA
"6215","New Zealand","NZL",2020-01-10,0,NA
"6216","New Zealand","NZL",2020-01-11,0,NA
"6217","New Zealand","NZL",2020-01-12,0,NA
"6218","New Zealand","NZL",2020-01-13,0,NA
"6219","New Zealand","NZL",2020-01-14,0,NA
"6220","New Zealand","NZL",2020-01-15,0,NA
"6221","New Zealand","NZL",2020-01-16,0,NA
"6222","New Zealand","NZL",2020-01-17,0,NA
"6223","New Zealand","NZL",2020-01-18,0,NA
"6224","New Zealand","NZL",2020-01-19,0,NA
"6225","New Zealand","NZL",2020-01-20,0,NA
"6226","New Zealand","NZL",2020-01-21,0,NA
"6227","New Zealand","NZL",2020-01-22,0,NA
"6228","New Zealand","NZL",2020-01-23,0,NA
"6229","New Zealand","NZL",2020-01-24,0,NA
"6230","New Zealand","NZL",2020-01-25,0,NA
"6231","New Zealand","NZL",2020-01-26,0,NA
"6232","New Zealand","NZL",2020-01-27,0,NA
"6233","New Zealand","NZL",2020-01-28,0,NA
"6234","New Zealand","NZL",2020-01-29,0,NA
"6235","New Zealand","NZL",2020-01-30,0,NA
"6236","New Zealand","NZL",2020-01-31,0,NA
"6237","New Zealand","NZL",2020-02-01,0,NA
"6238","New Zealand","NZL",2020-02-02,0,NA
"6239","New Zealand","NZL",2020-02-03,0,NA
"6240","New Zealand","NZL",2020-02-04,0,NA
"6241","New Zealand","NZL",2020-02-05,0,NA
"6242","New Zealand","NZL",2020-02-06,0,NA
"6243","New Zealand","NZL",2020-02-07,0,NA
"6244","New Zealand","NZL",2020-02-08,0,NA
"6245","New Zealand","NZL",2020-02-09,0,NA
"6246","New Zealand","NZL",2020-02-10,0,NA
"6247","New Zealand","NZL",2020-02-11,0,NA
"6248","New Zealand","NZL",2020-02-12,0,NA
"6249","New Zealand","NZL",2020-02-13,0,NA
"6250","New Zealand","NZL",2020-02-14,0,NA
"6251","New Zealand","NZL",2020-02-15,0,NA
"6252","New Zealand","NZL",2020-02-16,0,NA
"6253","New Zealand","NZL",2020-02-17,0,NA
"6254","New Zealand","NZL",2020-02-18,0,NA
"6255","New Zealand","NZL",2020-02-19,0,NA
"6256","New Zealand","NZL",2020-02-20,0,NA
"6257","New Zealand","NZL",2020-02-21,0,NA
"6258","New Zealand","NZL",2020-02-22,0,NA
"6259","New Zealand","NZL",2020-02-23,0,NA
"6260","New Zealand","NZL",2020-02-24,0,NA
"6261","New Zealand","NZL",2020-02-25,0,NA
"6262","New Zealand","NZL",2020-02-26,0,NA
"6263","New Zealand","NZL",2020-02-27,0,NA
"6264","New Zealand","NZL",2020-02-28,0,NA
"6265","New Zealand","NZL",2020-02-29,0,NA
"6266","New Zealand","NZL",2020-03-01,0,NA
"6267","New Zealand","NZL",2020-03-02,0,NA
"6268","New Zealand","NZL",2020-03-04,0,NA
"6269","New Zealand","NZL",2020-03-05,0,NA
"6270","New Zealand","NZL",2020-03-06,0,NA
"6271","New Zealand","NZL",2020-03-07,0,NA
"6272","New Zealand","NZL",2020-03-14,0,NA
"6273","New Zealand","NZL",2020-03-15,0,NA
"6274","New Zealand","NZL",2020-03-18,0,NA
"6275","New Zealand","NZL",2020-03-19,0,NA
"6276","New Zealand","NZL",2020-03-20,0,NA
"6277","New Zealand","NZL",2020-03-21,0,NA
"6278","New Zealand","NZL",2020-03-22,0,NA
"6279","New Zealand","NZL",2020-03-23,0,NA
"6280","New Zealand","NZL",2020-03-24,0,NA
"6281","New Zealand","NZL",2020-03-25,0,NA
"6282","New Zealand","NZL",2020-03-26,0,NA
"6283","New Zealand","NZL",2020-03-27,0,NA
"6284","New Zealand","NZL",2020-03-28,0,NA
"6285","New Zealand","NZL",2020-03-29,1,NA
"6286","New Zealand","NZL",2020-03-30,1,NA
"6287","New Zealand","NZL",2020-03-31,1,NA
"6288","New Zealand","NZL",2020-04-01,1,NA
"6289","New Zealand","NZL",2020-04-02,1,NA
"6290","New Zealand","NZL",2020-04-03,1,NA
"6291","New Zealand","NZL",2020-04-04,1,NA
"6292","New Zealand","NZL",2020-04-05,1,NA
"6293","Nicaragua","NIC",2020-03-19,0,NA
"6294","Nicaragua","NIC",2020-03-20,0,NA
"6295","Nicaragua","NIC",2020-03-21,0,NA
"6296","Nicaragua","NIC",2020-03-22,0,NA
"6297","Nicaragua","NIC",2020-03-23,0,NA
"6298","Nicaragua","NIC",2020-03-24,0,NA
"6299","Nicaragua","NIC",2020-03-25,0,NA
"6300","Nicaragua","NIC",2020-03-26,0,NA
"6301","Nicaragua","NIC",2020-03-27,0,NA
"6302","Nicaragua","NIC",2020-03-28,1,NA
"6303","Nicaragua","NIC",2020-03-29,1,NA
"6304","Nicaragua","NIC",2020-03-30,1,NA
"6305","Nicaragua","NIC",2020-03-31,1,NA
"6306","Nicaragua","NIC",2020-04-01,1,NA
"6307","Nicaragua","NIC",2020-04-02,1,NA
"6308","Nicaragua","NIC",2020-04-03,1,NA
"6309","Nicaragua","NIC",2020-04-04,1,NA
"6310","Nicaragua","NIC",2020-04-05,1,NA
"6311","Niger","NER",2020-03-21,0,NA
"6312","Niger","NER",2020-03-22,0,NA
"6313","Niger","NER",2020-03-23,0,NA
"6314","Niger","NER",2020-03-24,0,NA
"6315","Niger","NER",2020-03-25,1,NA
"6316","Niger","NER",2020-03-26,1,NA
"6317","Niger","NER",2020-03-27,1,NA
"6318","Niger","NER",2020-03-28,1,NA
"6319","Niger","NER",2020-03-29,1,NA
"6320","Niger","NER",2020-03-30,1,NA
"6321","Niger","NER",2020-03-31,3,NA
"6322","Niger","NER",2020-04-01,3,NA
"6323","Niger","NER",2020-04-02,5,NA
"6324","Niger","NER",2020-04-03,5,NA
"6325","Niger","NER",2020-04-04,5,NA
"6326","Niger","NER",2020-04-05,5,NA
"6327","Nigeria","NGA",2019-12-31,0,NA
"6328","Nigeria","NGA",2020-01-01,0,NA
"6329","Nigeria","NGA",2020-01-02,0,NA
"6330","Nigeria","NGA",2020-01-03,0,NA
"6331","Nigeria","NGA",2020-01-04,0,NA
"6332","Nigeria","NGA",2020-01-05,0,NA
"6333","Nigeria","NGA",2020-01-06,0,NA
"6334","Nigeria","NGA",2020-01-07,0,NA
"6335","Nigeria","NGA",2020-01-08,0,NA
"6336","Nigeria","NGA",2020-01-09,0,NA
"6337","Nigeria","NGA",2020-01-10,0,NA
"6338","Nigeria","NGA",2020-01-11,0,NA
"6339","Nigeria","NGA",2020-01-12,0,NA
"6340","Nigeria","NGA",2020-01-13,0,NA
"6341","Nigeria","NGA",2020-01-14,0,NA
"6342","Nigeria","NGA",2020-01-15,0,NA
"6343","Nigeria","NGA",2020-01-16,0,NA
"6344","Nigeria","NGA",2020-01-17,0,NA
"6345","Nigeria","NGA",2020-01-18,0,NA
"6346","Nigeria","NGA",2020-01-19,0,NA
"6347","Nigeria","NGA",2020-01-20,0,NA
